Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Baby Storytime (0-18 months),03/07/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,
Tutoring and Homework Help,03/07/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
Preschool Storytime,03/08/2017,Mar,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,69
Pre-School Storytime,03/08/2017,Mar,FY 17,Twinbrook,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Pictures Books, Fingerplays, Action Rhymes, Movement with Music, and Flannel Board Stories. Free. No registration required. Designed for children ages 2 1/2 to 5. For more information call 240-77-0240",,Yes,67
Toddler and Preschool Storytime,03/08/2017,Mar,FY 17,Bethesda,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, songs, rhymes, and other early literacy activities for children ages 2-5, with adult. Free tickets will be handed out 30 minutes prior to the program. Space is limited.",,Yes,62
Toddler Storytime (18-36 months),03/08/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"**NOTE** We will be handing out tickets 30 minutes before storytime- starting at 10 o'clock, first come first served. Get up and get moving at storytime! These 20-30 minute programs are full of a diverse collection of books, songs and fun activities. They are designed to introduce your child to the culture of reading and help develop your child’s language skills. Children are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Fifth floor program room.",,Yes,
Baby Storytime (0-18 months),03/08/2017,Mar,FY 17,Silver Spring,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"***NOTE*** We will be handing out tickets 30 minutes before storytime- starting at 11 o'clock, first come first served. Space is limited to 25 babies. A storytime experience for our youngest library users and their caregivers. These 20-30 minute storytimes introduce a diverse collection of books, songs, rhymes and bounces developmentally appropriate for children from birth to when they start walking. This is a wonderful way to introduce your child to the joys and culture of reading in a positive and fun atmosphere. This story time is designed so the baby will be in their caregiver’s lap and the grownup is actively involved in the program. Fifth floor program room.",,Yes,
Stepping Stones Story Time,03/08/2017,Mar,FY 17,Damascus,Storytime,ACE - All Children Excel,Z_For VS use only,Preschool and Kindergarten,Babies and Toddlers,,For children ages newborn to 5. Each session begins with simple rhymes and activities for the youngest children; transitions are built-in so younger children can leave as stories and activities become more complex for the older preschoolers. Adults must accompany children age 2 and under; children ages 3-5 may attend with an adult or independently. Drop-in; no registration. Call 240-773-9444 for more information.,,Yes,35
Homework Help,03/08/2017,Mar,FY 17,Wheaton,Homework,ACE - All Children Excel,,Elementary School Age,,,For students Kindergarten to grade 6. Reading and math help and encouragement from older students.,,Yes,6
Tutoring and Homework Help,03/08/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,26
Toddler & Preschool Storytime,03/09/2017,Mar,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,45
Toddler & Preschool Storytime,03/09/2017,Mar,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Join us for stories, fingerplays, songs and movement! Due to space limitations we require registration. Please register for the adult caregiver attending.",,Yes,41
Construction Crew: DUPLO,03/09/2017,Mar,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,13
Toddler Story Time,03/09/2017,Mar,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at our Toddler Story Times! These 20-30 minute programs are full of books, songs and fun activities are designed to help develop your child’s language skills. Children ages 18-36 months are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,64
STORYTIME FOR 2s AND 3s,03/09/2017,Mar,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This storytime is designed for children ages 2 to 3 1/2 years old, with a parent or caregiver. Join us for stories, songs and rhymes. Free! No registration necessary. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,36
Toddler Story Time,03/09/2017,Mar,FY 17,Gaithersburg,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Get up and get moving at our Toddler Story Times! These 20-30 minute programs are full of books, songs and fun activities are designed to help develop your child’s language skills. Children ages 18-36 months are encouraged to engage with the stories and activities, and their grownups to participate in the program along with the children. Free tickets available 30 minutes before the program begins. Please park strollers outside the program room. Our room holds 50 people. Floor seating.",,Yes,42
Me and You-kulele Singalong,03/09/2017,Mar,FY 17,Wheaton,Special Event,Storytime,ACE - All Children Excel,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian is a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. Got a Uke? Bring it! We will play and sing some 2 and 3-chord songs!",,Yes,17
Homework Help,03/09/2017,Mar,FY 17,Silver Spring,Homework,ACE - All Children Excel,,Elementary School Age,,,Grades K-8. Drop in Thursday afternoons to receive one on one assistance from local high school students. No advance registration necessary- sign in on arrival at study tables on the fifth floor.,,Yes,17
Tutoring and Homework Help,03/09/2017,Mar,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,23
Art-O-Matic,03/09/2017,Mar,FY 17,Long Branch,Science & Math (STEM),ACE - All Children Excel,,Elementary School Age,Teens,,Making block prints.,,Yes,20
MC Infants & Toddlers Bilingual Storytime,03/10/2017,Mar,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,18
LEGO and DUPLO Playtime,03/10/2017,Mar,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home -- just bring your imagination and start building! YOur creations must be left at the library but may be photographied before you leave. For children ages 3 to 12. Free. No registration. All children must be accompanied by an adult at all times. For more information call 240-777-0240.,,Yes,17
